,Name,Title,Cusip,Ticker,Category,Value,Pct
30,DKSH Holding AG,DKSH HOLDING AG,000000000,None,CORP EC,38555472,0.7
31,Klabin SA,KLABIN SA,000000000,None,CORP EC,37553227,0.7
32,Definity Financial Corp,DEFINITY FINANCIAL CORP,24477T100,None,CORP EC,37456952,0.7
33,Virbac SACA,VIRBAC SACA,000000000,None,CORP EC,37197657,0.7
34,Konica Minolta Inc,KONICA MINOLTA INC,000000000,None,CORP EC,35736151,0.6
35,Obara Group Inc,OBARA GROUP INC,000000000,None,CORP EC,35703357,0.6
36,Shopify Inc,SHOPIFY INC,000000000,None,CORP EC,35472163,0.6
37,Weir Group PLC/The,WEIR GROUP PLC/THE,000000000,None,CORP EC,35289613,0.6
38,Adriatic Metals PLC,ADRIATIC METALS PLC,000000000,None,CORP EC,35093125,0.6
39,Bridgepoint Group PLC,BRIDGEPOINT GROUP PLC,000000000,None,CORP EC,34935866,0.6
40,Siltronic AG,SILTRONIC AG,000000000,None,CORP EC,34767093,0.6
41,TGS ASA,TGS ASA,000000000,None,CORP EC,34489590,0.6
42,Niterra Co Ltd,NITERRA CO LTD,000000000,None,CORP EC,34301570,0.6
43,Cairn Homes PLC,CAIRN HOMES PLC,000000000,None,CORP EC,34200369,0.6
44,Asia Commercial Bank JSC,ASIA COMMERCIAL BANK JSC,000000000,None,CORP EC,33043063,0.6
45,Hikari Tsushin Inc,HIKARI TSUSHIN INC,000000000,None,CORP EC,33007899,0.6
46,Eurofins Scientific SE,EUROFINS SCIENTIFIC SE,000000000,None,CORP EC,32317852,0.6
47,Horiba Ltd,HORIBA LTD,000000000,None,CORP EC,31599960,0.6
48,Hoa Phat Group JSC,HOA PHAT GROUP JSC,000000000,None,CORP EC,31415083,0.6
49,IHI Corp,IHI CORP,000000000,None,CORP EC,31326073,0.6
50,Nifco Inc/Japan,NIFCO INC/JAPAN,000000000,None,CORP EC,30864925,0.5
51,Polycab India Ltd,POLYCAB INDIA LTD,000000000,None,CORP EC,30279560,0.5
